Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background,Age,genotype/variation,Tissue,chip_antibody,Antibody
SRR6396997,ChIP-Seq,51,6859940589,PRJNA423257,SAMN08214413,3445421481,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3490172,GSM2895878,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM2895878,Cerebellar microglia,SRP127259,C57BL/6,,,,H3K27me3 (Millipore; 07-449),
SRR6396998,ChIP-Seq,51,7314915618,PRJNA423257,SAMN08214412,4363642244,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3490173,GSM2895879,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM2895879,Cerebellar microglia,SRP127259,C57BL/6,,,,,none (input)
SRR6396999,ChIP-Seq,51,6556614366,PRJNA423257,SAMN08214411,3981640023,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3490174,GSM2895880,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM2895880,Striatal microglia,SRP127259,C57BL/6,,,,H3K27me3 (Millipore; 07-449),
SRR6397000,ChIP-Seq,51,6543630633,PRJNA423257,SAMN08214410,3354941538,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3490175,GSM2895881,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM2895881,Striatal microglia,SRP127259,C57BL/6,,,,,none (input)
SRR7263599,ChIP-Seq,51,9047924280,PRJNA423257,SAMN09363263,6545828268,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167735,GSM3175841,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175841,cxMg H3K27me3_ChIP,SRP127259,C57BL/6,4-8-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Cortical microglia,H3K27me3 (Millipore; 07-449),
SRR7263600,ChIP-Seq,51,4735360761,PRJNA423257,SAMN09363261,3577555022,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167736,GSM3175842,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175842,cxMg ChIP input,SRP127259,C57BL/6,4-8-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Cortical microglia,,
SRR7263601,RNA-Seq,101,8386984753,PRJNA423257,SAMN09363259,5213763460,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167737,GSM3175843,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175843,stMg TRAP 3mo Eed-ko,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263602,RNA-Seq,101,8723495038,PRJNA423257,SAMN09363257,5417249446,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167738,GSM3175844,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175844,stMg TRAP 3mo Eed-ko,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263603,RNA-Seq,101,8428377381,PRJNA423257,SAMN09363255,5155140944,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167739,GSM3175845,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175845,stMg TRAP 3mo control,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
SRR7263604,RNA-Seq,101,8189862649,PRJNA423257,SAMN09363413,5111492846,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167740,GSM3175846,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175846,stMg TRAP 3mo control,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
