Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,Tissue,chip_antibody_vendor
SRR1699284,ChIP-Seq,60,409876320,PRJNA267541,SAMN03256385,182700548,Brain microglia,GEO,None,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX801896,GSM1562255,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562255,Brain microglia,SRP049941,C57BL/6,Brain,
SRR1699285,ChIP-Seq,50,749246450,PRJNA267541,SAMN03256392,322867143,Kupffer cells,GEO,None,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX801897,GSM1562256,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562256,Kupffer cells,SRP049941,C57BL/6,Liver,
SRR1699286,ChIP-Seq,60,904254780,PRJNA267541,SAMN03256390,402220575,Large intestine macrophages,GEO,None,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX801898,GSM1562257,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562257,Large intestine macrophages,SRP049941,C57BL/6,Large intestine,
SRR1699287,ChIP-Seq,60,252161700,PRJNA267541,SAMN03256388,112866318,Small intestine macrophages,GEO,None,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX801899,GSM1562258,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562258,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,
SRR1699288,ChIP-Seq,60,234280440,PRJNA267541,SAMN03256391,104814455,Lung macrophages,GEO,None,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX801900,GSM1562259,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562259,Lung macrophages,SRP049941,C57BL/6,Lung,
SRR1699289,ChIP-Seq,60,517971780,PRJNA267541,SAMN03256393,231477828,Peritoneal cavity macrophages,GEO,None,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX801901,GSM1562260,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562260,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,
SRR1699290,ChIP-Seq,60,254460,PRJNA267541,SAMN03256387,154340,Monocytes,GEO,None,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX801902,GSM1562261,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562261,Monocytes,SRP049941,C57BL/6,Bone marrow,
SRR1699291,ChIP-Seq,60,471177000,PRJNA267541,SAMN03256386,209903108,Neutrophils,GEO,None,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX801903,GSM1562262,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562262,Neutrophils,SRP049941,C57BL/6,Bone marrow,
SRR1699292,ChIP-Seq,60,585052380,PRJNA267541,SAMN03256389,261190173,Spleen red pulp macrophages,GEO,None,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX801904,GSM1562263,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-09T00:00:00Z,GSM1562263,Spleen red pulp macrophages,SRP049941,C57BL/6,Spleen,
SRR1653783,ChIP-Seq,60,714759480,PRJNA267541,SAMN03196763,326042321,Brain microglia,GEO,anti-H3K4me1,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX760545,GSM1545960,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545960,Brain microglia,SRP049941,C57BL/6,Brain,
SRR1653784,ChIP-Seq,60,323760180,PRJNA267541,SAMN03196763,145565256,Brain microglia,GEO,anti-H3K4me1,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760545,GSM1545960,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545960,Brain microglia,SRP049941,C57BL/6,Brain,
SRR1653788,ChIP-Seq,60,367381140,PRJNA267541,SAMN03196819,165724817,Brain microglia,GEO,anti-H3K4me1,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760547,GSM1545962,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545962,Brain microglia,SRP049941,C57BL/6,Brain,
SRR1653790,ChIP-Seq,50,92211950,PRJNA267541,SAMN03196794,99217059,Brain microglia,GEO,anti-H3K27ac,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760548,GSM1545963,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545963,Brain microglia,SRP049941,C57BL/6,Brain,Abcam
SRR1653792,ChIP-Seq,60,46492200,PRJNA267541,SAMN03196794,21321017,Brain microglia,GEO,anti-H3K27ac,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX760548,GSM1545963,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545963,Brain microglia,SRP049941,C57BL/6,Brain,Abcam
SRR1653794,ChIP-Seq,50,135736600,PRJNA267541,SAMN03196812,139565038,Brain microglia,GEO,anti-H3K4me2,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760549,GSM1545964,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545964,Brain microglia,SRP049941,C57BL/6,Brain,Abcam
