Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Treatment
SRR3621146,ChIP-Seq,50,2607821250,PRJNA324251,SAMN05199070,1206529512,GEO,none (input),public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1816882,wildtype,GSM2185231,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185231,microglia from 9 month-old animals,SRP076026,equal mixture of DNA from all treatment groups
SRR3621147,ChIP-Seq,50,1067605500,PRJNA324251,SAMN05199070,498843845,GEO,none (input),public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1816882,wildtype,GSM2185231,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185231,microglia from 9 month-old animals,SRP076026,equal mixture of DNA from all treatment groups
SRR3621148,ChIP-Seq,50,3154271550,PRJNA324251,SAMN05199071,1458633866,GEO,none (input),public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1816883,APP23,GSM2185232,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185232,microglia from 9 month-old animals,SRP076026,equal mixture of DNA from all treatment groups
SRR3621149,ChIP-Seq,50,3484114600,PRJNA324251,SAMN05199071,1606796695,GEO,none (input),public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1816883,APP23,GSM2185232,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185232,microglia from 9 month-old animals,SRP076026,equal mixture of DNA from all treatment groups
SRR3621150,ChIP-Seq,50,2486249450,PRJNA324251,SAMN05199072,1148122526,GEO,H3K4me1: Abcam ab8895,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1816884,wildtype,GSM2185233,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185233,microglia from 9 month-old animals,SRP076026,PBS i.p.
SRR3621151,ChIP-Seq,50,2397652100,PRJNA324251,SAMN05199072,1155436709,GEO,H3K4me1: Abcam ab8895,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1816884,wildtype,GSM2185233,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185233,microglia from 9 month-old animals,SRP076026,PBS i.p.
SRR3621152,ChIP-Seq,50,2034798800,PRJNA324251,SAMN05199073,939026128,GEO,H3K4me1: Abcam ab8895,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1816885,wildtype,GSM2185234,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185234,microglia from 9 month-old animals,SRP076026,1xLPS i.p.
SRR3621153,ChIP-Seq,50,1754483400,PRJNA324251,SAMN05199073,847576299,GEO,H3K4me1: Abcam ab8895,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1816885,wildtype,GSM2185234,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185234,microglia from 9 month-old animals,SRP076026,1xLPS i.p.
SRR3621155,ChIP-Seq,50,1690442300,PRJNA324251,SAMN05199074,816344869,GEO,H3K4me1: Abcam ab8895,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1816886,wildtype,GSM2185235,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185235,microglia from 9 month-old animals,SRP076026,4xLPS i.p.
SRR3621156,ChIP-Seq,50,1634564350,PRJNA324251,SAMN05199061,756886626,GEO,H3K4me1: Abcam ab8895,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1816887,APP23,GSM2185236,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2018-04-06T00:00:00Z,GSM2185236,microglia from 9 month-old animals,SRP076026,PBS i.p.
